id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
45673039,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,1,$48.00,30,1125,341,0,,f,
45673286,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,1,$49.00,30,1125,317,0,,f,
45673326,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,0,$45.00,30,1125,342,1,5,f,1
45674724,376275905,2020/11/19,N/A,N/A,N/A,f,t,f,Saint-Roch,46.81521,-71.21874,Entire loft,Entire home/apt,2,1 bath,1,$80.00,1,1125,343,72,4.68,t,7.83
45685912,376275905,2020/11/19,N/A,N/A,N/A,f,t,f,Saint-Roch,46.8156,-71.21919,Entire loft,Entire home/apt,2,1 bath,1,$82.00,1,1125,353,34,4.62,t,3.67
45689403,376275905,2020/11/19,N/A,N/A,N/A,f,t,f,Saint-Roch,46.81534,-71.22056,Entire home/apt,Entire home/apt,2,1 bath,1,$100.00,1,1125,321,26,4.42,t,3.35
45707815,133449041,2017/6/4,within an hour,100%,100%,f,t,f,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80389,-71.22067,Entire condominium,Entire home/apt,4,1 bath,2,$175.00,1,1125,118,9,5,t,1.79
45730348,19109849,2014/7/29,within an hour,100%,100%,f,t,t,Vieux-Limoilou,46.82841,-71.23981,Entire apartment,Entire home/apt,2,1 bath,1,$75.00,2,1125,107,1,5,t,1
45736226,53451612,2016/1/5,within a few hours,100%,80%,t,t,t,Vieux-Limoilou,46.82597,-71.2295,Entire apartment,Entire home/apt,4,1 bath,0,$87.00,2,1125,243,13,4.69,t,2.47
45757712,254706194,2019/4/10,within an hour,100%,71%,f,t,t,Cité Universitaire,46.77722,-71.30129,Entire apartment,Entire home/apt,2,1 bath,1,$60.00,3,1125,157,0,,f,
45830183,1646154,2012/1/24,within a few hours,96%,90%,f,t,t,Saint-Sauveur,46.81439,-71.23844,Entire apartment,Entire home/apt,4,1 bath,2,$35.00,31,365,325,2,5,f,1.2
45831304,37476198,2015/7/4,within an hour,100%,100%,t,t,t,Vieux-Limoilou,46.82235,-71.24073,Private room in guest suite,Private room,2,1 private bath,1,$32.00,2,1125,135,16,4.94,t,1.81
45848845,272697366,2019/7/1,within an hour,100%,100%,f,t,f,Quartier 5-4,46.86604,-71.18377,Entire loft,Entire home/apt,2,1 bath,1,$55.00,3,90,285,1,4,f,0.12
45863042,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81349,-71.2251,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,114,1,5,t,1
45863183,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81269,-71.22516,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,175,3,4.67,t,0.88
45863282,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81419,-71.22698,Entire apartment,Entire home/apt,2,1 bath,2,$137.00,1,1125,180,4,4.75,t,1.11
45863327,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81336,-71.22667,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,179,3,4.33,t,0.83
45863364,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81301,-71.22644,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,177,4,4.75,t,2.45
45863439,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81271,-71.22539,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,179,4,3.75,t,1.12
45863465,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81468,-71.22516,Entire apartment,Entire home/apt,2,1 bath,2,$137.00,1,1125,177,6,4.17,t,0.84
45863480,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81257,-71.22651,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,163,16,4.94,t,2.51
45863507,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81478,-71.22663,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,156,4,5,t,4
45863537,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81395,-71.22545,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,174,13,4.46,t,2.87
45863566,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81273,-71.22688,Entire apartment,Entire home/apt,2,1 bath,2,$137.00,1,1125,178,9,4.89,t,1.89
45863592,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81292,-71.22553,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,178,7,4.86,t,1.54
45863609,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81299,-71.2265,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,165,7,5,t,1.09
45863628,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81425,-71.22621,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,172,8,4.88,t,1.73
45863651,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81333,-71.22483,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,147,8,4.75,t,1.69
45863665,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81477,-71.22621,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,154,3,4.67,t,3
45863682,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81437,-71.2253,Entire apartment,Entire home/apt,2,1 bath,2,$137.00,1,1125,174,0,,t,
45863701,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81279,-71.22677,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,173,2,5,t,0.64
45863737,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81485,-71.22471,Entire apartment,Entire home/apt,2,1 bath,2,$137.00,1,1125,155,7,4.57,t,0.95
45863752,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81311,-71.22675,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,171,3,5,t,0.81
45863779,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.8146,-71.22482,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,111,21,5,t,3.32
45863798,371711595,2020/10/12,within an hour,100%,100%,t,t,t,Saint-Roch,46.81256,-71.22615,Entire apartment,Entire home/apt,4,1 bath,2,$137.00,1,1125,139,27,4.74,t,3.91
45867402,1646154,2012/1/24,within a few hours,96%,90%,f,t,t,Saint-Sauveur,46.81331,-71.23838,Entire apartment,Entire home/apt,4,1 bath,1,$25.00,31,1125,283,0,,f,
45913142,156965492,2017/10/31,within an hour,100%,80%,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81094,-71.2099,Entire loft,Entire home/apt,2,1 bath,1,$45.00,30,1125,283,2,4,f,0.38
45921872,206157337,2018/7/30,within an hour,100%,85%,t,t,t,Saint-Roch,46.81982,-71.21787,Entire condominium,Entire home/apt,6,1 bath,2,$70.00,31,1125,324,0,,f,
45922017,206157337,2018/7/30,within an hour,100%,85%,t,t,t,Saint-Jean-Baptiste,46.80912,-71.22131,Entire apartment,Entire home/apt,3,1 bath,2,$62.00,31,1125,97,0,,t,
45923439,206157337,2018/7/30,within an hour,100%,85%,t,t,t,Chutes-Montmorency,46.87163,-71.17067,Entire apartment,Entire home/apt,5,1 bath,2,$79.00,31,1125,365,0,,f,
