"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1207","36276356","272833100",2019-07-01,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.80983,-71.20358,"Entire apartment","Entire home/apt",4,"1 bath",3,129,1,1125,297,34,4.74,"t",1.62,2
"1208","36303077","262753300",2019-05-19,"within an hour",100,100,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.8032,-71.21043,"Entire apartment","Entire home/apt",2,"1 bath",1,110,3,50,0,18,4.76,"f",0.75,2
"1209","36309694","130785748",2017-05-17,"N/A",NA,NA,"f","t","t","Vieux-Moulin",46.85019,-71.23209,"Private room in apartment","Private room",2,"1.5 shared baths",1,44,32,1125,0,2,5,"f",0.09,4
"1210","36313925","130785748",2017-05-17,"N/A",NA,NA,"f","t","t","Vieux-Moulin",46.84975,-71.23141,"Private room in apartment","Private room",2,"1.5 shared baths",1,48,32,1125,0,11,5,"f",0.45,4
"1211","36315197","130785748",2017-05-17,"N/A",NA,NA,"f","t","t","Maizerets",46.84949,-71.2323,"Private room in apartment","Private room",2,"1.5 shared baths",1,43,32,1125,0,8,4.63,"f",0.34,4
"1212","36340536","239812850",2019-01-29,"within an hour",100,97,"t","t","f","Vieux-Limoilou",46.82388,-71.24262,"Entire apartment","Entire home/apt",4,"1 bath",2,75,32,1125,99,29,4.76,"f",1.23,2
"1213","36348682","201352950",2018-07-10,"within an hour",100,100,"t","t","t","Saint-Sacrement",46.79286,-71.25998,"Entire loft","Entire home/apt",2,"1 bath",1,71,2,60,39,18,4.83,"t",0.76,3
"1214","36349017","273320207",2019-07-03,"N/A",NA,NA,"t","t","t","Saint-Louis",46.75992,-71.31672,"Private room in apartment","Private room",2,"1 shared bath",1,30,1,1125,3,37,4.89,"t",1.51,2
"1215","36391971","187899970",2018-05-04,"N/A",NA,NA,"f","t","t","Saint-Roch",46.81302,-71.22076,"Entire apartment","Entire home/apt",3,"1 bath",4,346,31,1125,83,27,4.81,"f",1.11,3
"1216","36436263","273945828",2019-07-06,"within an hour",100,100,"t","t","f","Saint-Sauveur",46.80579,-71.23519,"Entire apartment","Entire home/apt",2,"1 bath",1,100,1,1125,173,60,4.82,"f",2.47,2
