id,host_id,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,year,host_acceptance_rate,host_response_rate,price_boxcox,weights
45831304,37476198,within an hour,t,t,t,Vieux-Limoilou,46.82235,-71.24073,Private room in guest suite,Private room,2,1 private bath,1,32,2,1125,135,16,4.94,t,1.81,6,100,100,3.4657359028,0.6397591793
45848845,272697366,within an hour,f,t,f,Quartier 5-4,46.86604,-71.18377,Entire loft,Entire home/apt,2,1 bath,1,55,3,90,285,1,4,f,0.12,2,100,100,4.0073331852,1
45863042,371711595,within an hour,t,t,t,Saint-Roch,46.81349,-71.2251,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,114,1,5,t,1,1,100,100,4.9199809258,1
45863183,371711595,within an hour,t,t,t,Saint-Roch,46.81269,-71.22516,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,175,3,4.67,t,0.88,1,100,100,4.9199809258,1
45863282,371711595,within an hour,t,t,t,Saint-Roch,46.81419,-71.22698,Entire apartment,Entire home/apt,2,1 bath,2,137,1,1125,180,4,4.75,t,1.11,1,100,100,4.9199809258,1
45863327,371711595,within an hour,t,t,t,Saint-Roch,46.81336,-71.22667,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,179,3,4.33,t,0.83,1,100,100,4.9199809258,1
45863364,371711595,within an hour,t,t,t,Saint-Roch,46.81301,-71.22644,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,177,4,4.75,t,2.45,1,100,100,4.9199809258,1
45863439,371711595,within an hour,t,t,t,Saint-Roch,46.81271,-71.22539,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,179,4,3.75,t,1.12,1,100,100,4.9199809258,1
45863465,371711595,within an hour,t,t,t,Saint-Roch,46.81468,-71.22516,Entire apartment,Entire home/apt,2,1 bath,2,137,1,1125,177,6,4.17,t,0.84,1,100,100,4.9199809258,1
45863480,371711595,within an hour,t,t,t,Saint-Roch,46.81257,-71.22651,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,163,16,4.94,t,2.51,1,100,100,4.9199809258,1
45863507,371711595,within an hour,t,t,t,Saint-Roch,46.81478,-71.22663,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,156,4,5,t,4,1,100,100,4.9199809258,1
45863537,371711595,within an hour,t,t,t,Saint-Roch,46.81395,-71.22545,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,174,13,4.46,t,2.87,1,100,100,4.9199809258,1
45863566,371711595,within an hour,t,t,t,Saint-Roch,46.81273,-71.22688,Entire apartment,Entire home/apt,2,1 bath,2,137,1,1125,178,9,4.89,t,1.89,1,100,100,4.9199809258,1
45863592,371711595,within an hour,t,t,t,Saint-Roch,46.81292,-71.22553,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,178,7,4.86,t,1.54,1,100,100,4.9199809258,1
45863609,371711595,within an hour,t,t,t,Saint-Roch,46.81299,-71.2265,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,165,7,5,t,1.09,1,100,100,4.9199809258,1
45863628,371711595,within an hour,t,t,t,Saint-Roch,46.81425,-71.22621,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,172,8,4.88,t,1.73,1,100,100,4.9199809258,1
45863651,371711595,within an hour,t,t,t,Saint-Roch,46.81333,-71.22483,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,147,8,4.75,t,1.69,1,100,100,4.9199809258,1
45863665,371711595,within an hour,t,t,t,Saint-Roch,46.81477,-71.22621,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,154,3,4.67,t,3,1,100,100,4.9199809258,1
45863701,371711595,within an hour,t,t,t,Saint-Roch,46.81279,-71.22677,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,173,2,5,t,0.64,1,100,100,4.9199809258,1
45863737,371711595,within an hour,t,t,t,Saint-Roch,46.81485,-71.22471,Entire apartment,Entire home/apt,2,1 bath,2,137,1,1125,155,7,4.57,t,0.95,1,100,100,4.9199809258,1
45863752,371711595,within an hour,t,t,t,Saint-Roch,46.81311,-71.22675,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,171,3,5,t,0.81,1,100,100,4.9199809258,1
45863779,371711595,within an hour,t,t,t,Saint-Roch,46.8146,-71.22482,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,111,21,5,t,3.32,1,100,100,4.9199809258,1
45863798,371711595,within an hour,t,t,t,Saint-Roch,46.81256,-71.22615,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,139,27,4.74,t,3.91,1,100,100,4.9199809258,1
45913142,156965492,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81094,-71.2099,Entire loft,Entire home/apt,2,1 bath,1,45,30,1125,283,2,4,f,0.38,4,80,100,3.8066624898,1
45927701,156965492,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81119,-71.21038,Entire loft,Entire home/apt,2,1 bath,1,45,30,1125,178,2,5,f,0.32,4,80,100,3.8066624898,1
45935858,156965492,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80981,-71.21037,Entire loft,Entire home/apt,2,1 bath,1,35,30,1125,124,3,4.67,f,0.57,4,80,100,3.5553480615,0.9481098722
45937478,156965492,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80924,-71.20899,Entire loft,Entire home/apt,2,1 bath,1,33,30,1125,167,2,4,f,0.9,4,80,100,3.4965075615,0.9186262662
45937629,372408688,within an hour,t,t,f,Quartier 4-2,46.88904,-71.29651,Entire condominium,Entire home/apt,4,1 bath,3,110,2,29,0,7,5,f,0.9,1,100,100,4.7004803658,1
